,Player,country,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Unnamed: 14
20,SR Taylor,(USA),2019-2019,8,5,13,1,70,3,23.33,5.38,26,0,0,
21,AC Thomas,(South Africa),2007-2007,1,1,4,0,25,3,8.33,6.25,8,0,0,
22,SF Tiai,(Samoa),2019-2019,4,4,11,0,82,3,27.33,7.45,22,0,0,
23,BM Tickner,(Newzealand),2019-2019,3,3,12,0,109,3,36.33,9.08,24,0,0,
24,DR Tuffey,(Newzealand),2005-2010,3,3,10,0,93,3,31,9.3,20,0,0,
25,AJ Turner,(Australia),2017-2019,11,3,6,0,42,3,14,7,12,0,0,
26,MB van Schelven,(Netherland),2015-2015,2,2,7,0,30,3,10,4.28,14,0,0,
27,Vichanath Singh,(THAI),2019-2019,4,4,16,1,90,3,30,5.62,32,0,0,
28,Virandeep Singh,(MAL),2019-2019,12,8,17.2,0,135,3,45,7.78,34.6,0,0,
29,RR Watson,(Scotland),2007-2010,10,5,10,0,92,3,30.66,9.2,20,0,0,
30,RM West,(Ireland),2009-2009,5,5,19,0,142,3,47.33,7.47,38,0,0,
31,SG Whittingham,(Scotland),2018-2018,3,3,10,0,79,3,26.33,7.9,20,0,0,
32,S Wickramasekara,(CZK0R),2019-2019,5,5,15.3,1,93,3,31,6,31,0,0,
33,Younis Khan,(Pakistan),2006-2010,25,1,3.4,0,18,3,6,4.9,7.3,0,0,
34,Zahid Hussain,(Canada),2012-2012,3,3,9.3,0,47,3,15.66,4.94,19,0,0,
35,Zaki Ul Hassan,(Belg),2019-2019,3,3,9,0,56,3,18.66,6.22,18,0,0,
36,C Zavoiu,(ROM),2019-2019,3,1,1,0,4,3,1.33,4,2,0,0,
37,Ziaur Rahman,(Bangladesh),2012-2014,14,7,12.3,0,127,3,42.33,10.16,25,0,0,
38,Zulqarnain Haider,(ESP),2019-2019,5,5,13,0,60,3,20,4.61,26,0,0,
39,Aamer Yamin,(Pakistan),2015-2018,2,2,6,0,37,2,18.5,6.16,18,0,0,
40,Aaron Jones,(USA),2019-2019,8,3,7,0,28,2,14,4,21,0,0,
41,YA Abdulla,(South Africa),2009-2009,2,2,7,0,44,2,22,6.28,21,0,0,
42,AG Achar,(SGP),2019-2019,3,3,6,0,44,2,22,7.33,18,0,0,
43,Ahmed Hassan,(Mald),2019-2019,11,5,7.3,0,81,2,40.5,10.8,22.5,0,0,
44,Ali Naqi,(PORT),2019-2019,4,4,10,0,65,2,32.5,6.5,30,0,0,
45,Alok Kapali,(Bangladesh),2007-2011,7,2,5,0,35,2,17.5,7,15,0,0,
46,Anique Uddin,(DEN),2019-2019,6,2,2.3,0,14,2,7,5.6,7.5,0,0,
47,DNA Ankrah,(Ghana),2019-2019,4,4,12,1,85,2,42.5,7.08,36,0,0,
48,Apon Mustafizur,(Serb),2019-2019,2,1,3,0,30,2,15,10,9,0,0,
49,Aqib Ilyas,(OMAN),2015-2019,22,4,9,0,59,2,29.5,6.55,27,0,0,
0,S Arachchige,(ITA),2019-2019,4,4,6,0,42,2,21,7,18,0,0,
1,JC Archer,(England),2019-2019,1,1,4,0,29,2,14.5,7.25,12,0,0,
2,Ashfaq Ahmed,(UAE),2018-2019,12,2,6,0,34,2,17,5.66,18,0,0,
3,Atif Kamal,(LUX),2019-2019,4,4,14,0,90,2,45,6.42,42,0,0,
4,Aziz Mohammad,(Belg),2019-2019,3,3,12,0,84,2,42,7,36,0,0,
5,MO Bacarese,(GIBR),2019-2019,3,3,12,0,51,2,25.5,4.25,36,0,0,
6,LS Baker,(West Indies),2008-2009,3,3,8,0,58,2,29,7.25,24,0,0,
7,JT Ball,(England),2018-2018,2,2,7,0,83,2,41.5,11.85,21,0,0,
8,GG Banner,(Blz),2019-2019,3,1,3.3,0,10,2,5,2.85,10.5,0,0,
9,W Barresi,(Netherland),2012-2019,42,3,5.4,0,49,2,24.5,8.64,17,0,0,
10,RJ Campbell,(Hong Kong),2016-2016,3,3,10,0,68,2,34,6.8,30,0,0,
11,P Chandran,(Mex),2019-2019,3,2,4,0,45,2,22.5,11.25,12,0,0,
12,FA Cossa,(Moz),2019-2019,6,5,14,0,110,2,55,7.85,42,0,0,
13,KM Dabengwa,(Zimbabve),2006-2010,8,7,11,0,106,2,53,9.63,33,0,0,
14,DK Dahyabhai Ahir,(PNM),2019-2019,2,2,3,0,27,2,13.5,9,9,0,0,
15,JWM Dalrymple,(England),2006-2007,3,3,5,0,39,2,19.5,7.8,15,0,0,
16,Dawlat Ahmadzai,(Afghanistan),2010-2010,2,2,4,0,46,2,23,11.5,12,0,0,
17,AS Dean,(Canada),2008-2013,2,2,4,0,32,2,16,8,12,0,0,
18,AP Devcich,(Newzealand),2013-2014,4,4,12,0,80,2,40,6.66,36,0,0,
19,LHD Dilhara,(Srilanka),2008-2008,2,2,5,0,30,2,15,6,15,0,0,
20,N Dipakkumar Patel,(PNM),2019-2019,3,3,10,0,42,2,21,4.2,30,0,0,
21,K Dorji,(BHU),2019-2019,2,2,7,0,69,2,34.5,9.85,21,0,0,
22,Ehsan Nawaz,(Hong Kong),2014-2017,5,5,7.4,0,79,2,39.5,10.3,23,0,0,
23,AM Ellis,(Newzealand),2012-2013,5,4,10,0,105,2,52.5,10.5,30,0,0,
24,Fakhrul Mohon,(PORT),2019-2019,4,4,14,2,85,2,42.5,6.07,42,0,0,
25,V Ganesan,(GER),2019-2019,4,4,9,1,44,2,22,4.88,27,0,0,
26,B Geeves,(Australia),2009-2009,1,1,3.2,0,35,2,17.5,10.5,10,0,0,
27,D Gim,(NGA),2019-2019,6,4,6,0,65,2,32.5,10.83,18,0,0,
28,Hafez Farooq,(Peru),2019-2019,4,1,2,0,14,2,7,7,6,0,0,
29,LHB Harrington0Myers,(Caym),2019-2019,4,2,4,0,26,2,13,6.5,12,0,0,
30,NM Hauritz,(Australia),2009-2009,3,2,7.2,0,47,2,23.5,6.4,22,0,0,
31,PA Hitchcock,(Newzealand),2008-2008,1,1,3,0,43,2,21.5,14.33,9,0,0,
32,Imran Ashraf,(QAT),2019-2019,3,3,9,0,78,2,39,8.66,27,0,0,
33,Imran Khan,1,(Pakistan),201502015,3,3,12,0,106,2,53,8.83,36,0,0
34,MM Iqbal,(Scotland),2012-2013,6,3,8,0,59,2,29.5,7.37,24,0,0,
35,J Jojo,(DEN),2019-2019,7,5,17,0,98,2,49,5.76,51,0,0,
36,Jubair Hossain,(Bangladesh),2015-2015,1,1,2,0,20,2,10,10,6,0,0,
37,Junaid Sheikh,(NOR),2019-2019,5,5,16,1,104,2,52,6.5,48,0,0,
38,Kamran Shazad,(UAE),2014-2014,3,3,8.4,0,77,2,38.5,8.88,26,0,0,
39,D Kegasitswe,(Botsw),2019-2019,4,3,12,0,156,2,78,13,36,0,0,
40,A Khan,(England),2009-2009,1,1,4,0,34,2,17,8.5,12,0,0,
41,AK Kitchen,(Newzealand),2017-2018,5,3,6,0,46,2,23,7.66,18,0,0,
42,Kuldeep Lal,(ESP),2019-2019,8,4,9,0,100,2,50,11.11,27,0,0,
43,B Laughlin,(Australia),2009-2013,3,3,11.5,0,118,2,59,9.97,35.5,0,0,
44,KS Lokuarachchi,(Srilanka),2012-2012,2,2,6,0,48,2,24,8,18,0,0,
45,J Louw,(South Africa),2008-2009,2,2,7,0,54,2,27,7.71,21,0,0,
46,Lucky Ali,(DEN),2019-2019,2,2,7,1,40,2,20,5.71,21,0,0,
47,AJ McKay,(Newzealand),2010-2010,2,2,5.4,0,31,2,15.5,5.47,17,0,0,
48,DSK Madushanka,(Srilanka),2018-2018,2,2,5.1,0,62,2,31,12,15.5,0,0,
49,R Mahajan,(PHI),2019-2019,3,3,10,0,93,2,46.5,9.3,30,0,0,
0,GI Maiden,(Scotland),2008-2008,3,3,10,0,58,2,29,5.8,30,0,0,
1,GT Main,(Scotland),2015-2016,4,2,4,0,34,2,17,8.5,12,0,0,
2,P Manning,(Caym),2019-2019,6,4,8,0,53,2,26.5,6.62,24,0,0,
3,B Masaba,(UGA),2019-2019,1,1,4,0,14,2,7,3.5,12,0,0,
4,H Masakadza,(Zimbabve),2006-2019,66,9,12,0,113,2,56.5,9.41,36,0,0,
5,MJ Mason,(Newzealand),2006-2008,3,3,9,0,65,2,32.5,7.22,27,0,0,
6,B Mavuta,(Zimbabve),2018-2018,3,3,12,0,81,2,40.5,6.75,36,0,0,
7,Z McLaughlin,(Caym),2019-2019,3,3,7.1,0,54,2,27,7.53,21.5,0,0,
8,SC Meaker,(England),2012-2012,2,2,7.5,0,70,2,35,8.93,23.5,0,0,
9,Mohameed Taiwo,(NGA),2019-2019,2,2,8,0,41,2,20.5,5.12,24,0,0,
10,Mohammad Adnan,(Saudi),2019-2019,5,5,17,0,120,2,60,7.05,51,0,0,
11,Mohsin Hub,(Peru),2019-2019,4,3,9,0,39,2,19.5,4.33,27,0,0,
12,Muhammad Rafique,(BAH),2019-2019,2,2,5,0,63,2,31.5,12.6,15,0,0,
13,S Murari,(CRC),2019-2019,3,3,10,0,52,2,26,5.2,30,0,0,
14,LA Musiani,(Arg),2019-2019,5,4,15,1,69,2,34.5,4.6,45,0,0,
15,M Nasim Baras,(Afghanistan),2015-2015,3,3,8,0,56,2,28,7,24,0,0,
16,A Nel,(South Africa),2005-2007,2,2,8,0,42,2,21,5.25,24,0,0,
17,R Ngarava,(Zimbabve),2019-2019,1,1,4,0,48,2,24,12,12,0,0,
18,F Nsubuga,(UGA),2019-2019,3,3,8,0,46,2,23,5.75,24,0,0,
19,L Nussbaumer,(GUE),2019-2019,1,1,4,0,44,2,22,11,12,0,0,
20,E Packard,(GIBR),2019-2019,4,4,11,0,79,2,39.5,7.18,33,0,0,
21,MS Panesar,(England),2007-2007,1,1,4,0,40,2,20,10,12,0,0,
22,NMS Param,(SGP),2019-2019,8,3,8,0,55,2,27.5,6.87,24,0,0,
23,HH Patel,(MWI),2019-2019,7,5,13,0,104,2,52,8,39,0,0,
24,H Patel,(Canada),2010-2013,11,5,9.5,0,83,2,41.5,8.44,29.5,0,0,
25,N Pathan,(THAI),2019-2019,4,4,6,0,60,2,30,10,18,0,0,
26,DBL Powell,(West Indies),2007-2007,5,5,17,0,131,2,65.5,7.7,51,0,0,
27,R Powell,(West Indies),2017-2019,23,4,8,0,74,2,37,9.25,24,0,0,
28,A Pusthay,(Fin),2019-2019,5,4,10,0,90,2,45,9,30,0,0,
29,S Rakshit,(CZK0R),2019-2019,7,5,12.5,0,99,2,49.5,7.71,38.5,0,0,
30,S Ravikumar,(CRC),2019-2019,3,3,6.2,0,56,2,28,8.84,19,0,0,
31,Raza0ur0Rehman,(Canada),2012-2013,5,3,9,0,58,2,29,6.44,27,0,0,
32,AJ Redmond,(Newzealand),2009-2010,7,1,2.5,0,24,2,12,8.47,8.5,0,0,
33,GA Rogers,(Scotland),2008-2009,2,2,7.5,0,67,2,33.5,8.55,23.5,0,0,
34,IH Romaine,(BMUDA),2008-2008,2,2,3.4,0,21,2,10.5,5.72,11,0,0,
35,SI Runsewe,(NGA),2019-2019,6,2,2.3,0,23,2,11.5,9.2,7.5,0,0,
36,JD Ryder,(Newzealand),2008-2014,22,5,10,0,68,2,34,6.8,30,0,0,
37,Sadeeq Khan,(ROM),2019-2019,3,3,12,0,63,2,31.5,5.25,36,0,0,
38,TK Saha,(Fin),2019-2019,4,4,10,0,88,2,44,8.8,30,0,0,
39,Sajid Liaqat,(GER),2019-2019,2,2,8,0,72,2,36,9,24,0,0,
40,Sandeep Goud,(OMAN),2019-2019,12,2,6,0,48,2,24,8,18,0,0,
41,Saqib Zulfiqar,(Netherland),2018-2019,6,4,9,0,61,2,30.5,6.77,27,0,0,
42,Saqlain Ali,(Belg),2019-2019,2,2,7,0,36,2,18,5.14,21,0,0,
43,Sarfaraz Ali,(BAH),2019-2019,4,3,8,0,60,2,30,7.5,24,0,0,
44,P Sarraf,(NEPAL),2019-2019,9,6,11,1,58,2,29,5.27,33,0,0,
45,RR Sarwan,(West Indies),2007-2010,18,1,2,0,10,2,5,5,6,0,0,
46,Shaffeq Muhammad,(),2019-2019,2,2,7,1,21,2,10.5,3,21,0,0,
47,Sharif Asadullah,(UAE),2014-2014,1,1,3,0,21,2,10.5,7,9,0,0,
48,Shuvagata Hom,(Bangladesh),2016-2016,5,4,11,0,71,2,35.5,6.45,33,0,0,
49,EHSN Silva,(UAE),2014-2014,2,2,7,0,58,2,29,8.28,21,0,0,
0,LA Simango,(Moz),2019-2019,3,3,6.1,0,55,2,27.5,8.91,18.5,0,0,
1,OF Smith,(West Indies),2018-2018,2,2,7,0,78,2,39,11.14,21,0,0,
2,CB Sole,(Scotland),2017-2018,4,4,16,0,141,2,70.5,8.81,48,0,0,
3,AL Stephen,(VAN),2019-2019,2,2,7,0,29,2,14.5,4.14,21,0,0,
4,MJ Swepson,(Australia),2018-2018,1,1,4,0,37,2,18.5,9.25,12,0,0,
5,T Taylor,(Caym),2019-2019,6,4,9,0,74,2,37,8.22,27,0,0,
6,R Telemachus,(South Africa),2006-2007,3,3,12,0,90,2,45,7.5,36,0,0,
7,S Thuraisingam,(Canada),2008-2008,3,3,7.5,0,44,2,22,5.61,23.5,0,0,
8,CT Tremlett,(England),2007-2007,1,1,4,0,45,2,22.5,11.25,12,0,0,
9,T Turan,(TKY),2019-2019,4,3,8.1,0,111,2,55.5,13.59,24.5,0,0,
10,S Vashisht,(ROM),2019-2019,3,3,9,1,31,2,15.5,3.44,27,0,0,
11,AC Voges,(Australia),2007-2013,7,1,2,0,5,2,2.5,2.5,6,0,0,
12,Waqas Maqsood,(Pakistan),2018-2018,1,1,1.5,0,21,2,10.5,11.45,5.5,0,0,
13,SR Welsh,(Canada),2008-2008,1,1,3,0,6,2,3,2,9,0,0,
14,AR White,(Ireland),2008-2012,18,1,4,0,18,2,9,4.5,12,0,0,
15,G Wijekoon,(Srilanka),2007-2007,3,3,11,0,101,2,50.5,9.18,33,0,0,
16,C Wright,(Caym),2019-2019,6,4,7,0,53,2,26.5,7.57,21,0,0,
17,HN Ya France,(NAM),2019-2019,6,6,13,0,82,2,41,6.3,39,0,0,
18,Zain ul Tashnam,(CRC),2019-2019,3,2,8,1,35,2,17.5,4.37,24,0,0,
19,S Zargar,(Mex),2019-2019,1,1,3,0,22,2,11,7.33,9,0,0,
20,Ziaur Rahman,(Afghanistan),2019-2019,1,1,4,0,42,2,21,10.5,12,0,0,
21,Adnan Idrees,(KUW),2019-2019,6,3,7,0,67,1,67,9.57,42,0,0,
22,N Advani,(GIBR),2019-2019,1,1,3,0,12,1,12,4,18,0,0,
23,Aftab Ahmed,2,(DEN),201902019,1,1,1,0,10,1,10,10,6,0,0
24,GW Aldridge,(Newzealand),2011-2011,1,1,4,0,45,1,45,11.25,24,0,0,
25,J Allen,(),2019-2019,2,2,2,0,19,1,19,9.5,12,0,0,
26,TP Allen,(USA),2019-2019,5,2,3,0,28,1,28,9.33,18,0,0,
27,Amir Ali,(OMAN),2015-2016,10,5,9,0,67,1,67,7.44,54,0,0,
28,Amir Mangal,(GER),2019-2019,9,5,6.4,0,57,1,57,8.55,40,0,0,
29,S Aravind,(INDIA),2015-2015,1,1,3.4,0,44,1,44,12,22,0,0,
30,Ariful Haque,(Bangladesh),2018-2018,9,1,1,0,13,1,13,13,6,0,0,
31,B Arora,(MALTA),2019-2019,4,4,11.1,0,75,1,75,6.71,67,0,0,
32,Asad Mohammad,(GER),2019-2019,9,8,24,0,158,1,158,6.58,144,0,0,
33,Asghar Afghan,(Afghanistan),2010-2019,66,1,0.4,0,4,1,4,6,4,0,0,
34,AA Banner,(Blz),2019-2019,3,2,8,0,39,1,39,4.87,48,0,0,
35,CD Barnwell,(West Indies),2011-2013,6,4,6,0,51,1,51,8.5,36,0,0,
36,A Bhattarai,(NEPAL),2014-2014,1,1,3,0,12,1,12,4,18,0,0,
37,SR Bhudia,(KENYA),2019-2019,4,4,9,0,63,1,63,7,54,0,0,
38,STR Binny,(INDIA),2015-2016,3,3,5,0,54,1,54,10.8,30,0,0,
39,CC Blake,(VAN),2019-2019,3,3,8,0,49,1,49,6.12,48,0,0,
40,N Boje,(South Africa),2005-2005,1,1,4,0,27,1,27,6.75,24,0,0,
41,SG Borthwick,(England),2011-2011,1,1,4,0,15,1,15,3.75,24,0,0,
42,DL Brangman,(BMUDA),2019-2019,5,5,7,0,84,1,84,12,42,0,0,
43,CL Cairns,(Newzealand),2005-2006,2,2,8,0,52,1,52,6.5,48,0,0,
44,A Carthew,(Chile),2019-2019,4,1,2,0,19,1,19,9.5,12,0,0,
45,RD Chahar,(INDIA),2019-2019,1,1,3,0,27,1,27,9,18,0,0,
46,Charanjeet Singh,(ITA),2019-2019,3,2,5,0,35,1,35,7,30,0,0,
47,MS Crane,(England),2017-2017,2,2,8,0,62,1,62,7.75,48,0,0,
48,H Dajc,(Serb),2019-2019,2,1,4,0,36,1,36,9,24,0,0,
49,H Davids,(South Africa),2012-2013,9,2,2,0,13,1,13,6.5,12,0,0,
0,PA Desai,(Canada),2012-2012,1,1,3,0,30,1,30,10,18,0,0,
1,R Dhawan,(INDIA),2016-2016,1,1,4,0,42,1,42,10.5,24,0,0,
2,M Dixit,(LUX),2019-2019,3,3,9,0,93,1,93,10.33,54,0,0,
3,KR Ebanks,(Caym),2019-2019,5,5,11,0,104,1,104,9.45,66,0,0,
4,Faisal Khan,(Saudi),2019-2019,4,1,2,0,21,1,21,10.5,12,0,0,
5,Fayyaz Ahmed,(UAE),2015-2015,1,1,3,0,29,1,29,9.66,18,0,0,
6,Fiaz Ahmad,(KUW),2019-2019,3,3,5,0,56,1,56,11.2,30,0,0,
7,KK Flowers,(Blz),2019-2019,3,1,2,0,16,1,16,8,12,0,0,
8,C Floyd,(Netherland),2019-2019,2,2,5,0,51,1,51,10.2,30,0,0,
9,C Fry,(LUX),2019-2019,3,3,7,1,62,1,62,8.85,42,0,0,
10,MD Garratt,(GIBR),2019-2019,4,1,2.5,0,12,1,12,4.23,17,0,0,
11,JN Gillespie,(Australia),2005-2005,1,1,4,0,49,1,49,12.25,24,0,0,
12,NA Greenwood,(JER),2019-2019,8,2,2,0,14,1,14,7,12,0,0,
13,L Gregory,(England),2019-2019,5,2,4,0,29,1,29,7.25,24,0,0,
14,Hardev Singh,(Chile),2019-2019,3,1,1,0,12,1,12,12,6,0,0,
15,SJ Harmison,(England),2005-2006,2,2,6.3,0,42,1,42,6.46,39,0,0,
16,Haroon Arshad,(Hong Kong),2019-2019,10,8,13.5,0,108,1,108,7.8,83,0,0,
17,Haroon Mughal,(MALTA),2019-2019,4,2,3,0,31,1,31,10.33,18,0,0,
18,TM Head,(Australia),2016-2018,16,3,4,0,39,1,39,9.75,24,0,0,
19,R Hekure,(PNG),2019-2019,8,6,4.5,0,37,1,37,7.65,29,0,0,
20,BJ Hodge,(Australia),2007-2014,15,3,5,0,43,1,43,8.6,30,0,0,
21,S Hongsi,(THAI),2019-2019,3,2,3,0,35,1,35,11.66,18,0,0,
22,A Husain,(Arg),2019-2019,5,4,10,0,51,1,51,5.1,60,0,0,
23,GM Hyde,(Blz),2019-2019,3,2,5,0,43,1,43,8.6,30,0,0,
24,Ibrahim Rizan,(Mald),2019-2019,5,4,8.1,0,63,1,63,7.71,49,0,0,
25,Iftikhar Anjum,(Pakistan),2007-2009,2,2,8,0,67,1,67,8.37,48,0,0,
26,AJ Ireland,(Zimbabve),2006-2006,1,1,3,0,33,1,33,11,18,0,0,
27,Irfan Mir,(Chile),2019-2019,4,4,15,0,73,1,73,4.86,90,0,0,
28,E Isaneez,(UGA),2019-2019,3,3,9.2,0,53,1,53,5.67,56,0,0,
29,Ismat Ullah,(),2019-2019,4,2,4,0,16,1,16,4,24,0,0,
30,Jaspreet Singh,(ITA),2019-2019,5,2,5,0,53,1,53,10.6,30,0,0,
31,D Kansonkho,(MWI),2019-2019,7,3,7.3,0,60,1,60,8,45,0,0,
32,A Karn,(NEPAL),2015-2015,2,2,8,0,49,1,49,6.12,48,0,0,
33,N Khanna,(MALTA),2019-2019,2,2,4,0,47,1,47,11.75,24,0,0,
34,B Khumalo,(Botsw),2019-2019,3,3,11,0,96,1,96,8.72,66,0,0,
35,Khurram Chohan,(Canada),2010-2010,4,4,12.1,0,106,1,106,8.71,73,0,0,
36,Khurram Khan,(UAE),2014-2014,3,1,1,0,8,1,8,8,6,0,0,
37,JH Kiani,(PHI),2019-2019,4,1,4,0,26,1,26,6.5,24,0,0,
38,H Lakov,(),2019-2019,3,3,12,1,72,1,72,6,72,0,0,
39,CA Liyanage,(Mald),2019-2019,2,2,5,0,47,1,47,9.4,30,0,0,
40,J Long,(PHI),2019-2019,2,1,2,0,26,1,26,13,12,0,0,
41,NM Lyon,(Australia),2016-2018,2,2,5,0,48,1,48,9.6,30,0,0,
42,RT Lyons,(Scotland),2010-2010,2,2,6,0,40,1,40,6.66,36,0,0,
43,OC McCoy,(West Indies),2019-2019,2,1,3,0,44,1,44,14.66,18,0,0,
44,Mahmad Data,(PNM),2019-2019,2,2,5,0,31,1,31,6.2,30,0,0,
45,A Makesh,(KUW),2019-2019,4,4,9,1,79,1,79,8.77,54,0,0,
46,DJ Malan,(England),2017-2019,9,1,2,0,27,1,27,13.5,12,0,0,
47,WJ Malinda,(Mald),2019-2019,3,1,4,0,27,1,27,6.75,24,0,0,
48,OM Marshall,(Peru),2019-2019,3,2,3,0,22,1,22,7.33,18,0,0,
49,A Martin,(West Indies),2011-2011,1,1,3,0,20,1,20,6.66,18,0,0,
0,T Maruma,(Zimbabve),2008-2019,13,2,3,0,20,1,20,6.66,18,0,0,
1,WT Mashinge,(Zimbabve),2019-2019,2,2,5,0,57,1,57,11.4,30,0,0,
2,N Master,(Botsw),2019-2019,2,1,4,0,30,1,30,7.5,24,0,0,
3,Md Shafiqul Haque,(THAI),2019-2019,4,1,3,0,25,1,25,8.33,18,0,0,
4,DP Michael,(Samoa),2019-2019,4,1,3,0,32,1,32,10.66,18,0,0,
5,SF Mire,(Zimbabve),2018-2019,9,5,12,0,115,1,115,9.58,72,0,0,
6,Mohammad Boota,(UAE),2019-2019,16,1,1,0,13,1,13,13,6,0,0,
7,Mohammad Rafique,(Bangladesh),2006-2006,1,1,4,0,22,1,22,5.5,24,0,0,
8,Mohammad Shahid,(Bangladesh),2016-2016,1,1,3,0,32,1,32,10.66,18,0,0,
9,MR Montfort,(Canada),2019-2019,1,1,3,0,25,1,25,8.33,18,0,0,
10,J Mubarak,(Srilanka),2007-2009,16,2,1.2,0,17,1,17,12.75,8,0,0,
11,Muhammad Tanveer,(QAT),2019-2019,15,3,8,0,63,1,63,7.87,48,0,0,
12,D Muhumuza,(UGA),2019-2019,4,3,5,0,35,1,35,7,30,0,0,
13,EMDY Munaweera,(Srilanka),2012-2017,13,5,10,0,92,1,92,9.2,60,0,0,
14,T Mupariwa,(Zimbabve),2007-2008,4,4,13,0,94,1,94,7.23,78,0,0,
15,Murid Ekrami,(Belg),2019-2019,3,3,5,0,37,1,37,7.4,30,0,0,
16,Najeeb Amar,(Hong Kong),2014-2014,1,1,3,0,29,1,29,9.66,18,0,0,
17,NH Naureen,(ESP),2019-2019,1,1,3,1,32,1,32,10.66,18,0,0,
18,Naveed Ahmed,(CZK0R),2019-2019,7,5,9,0,56,1,56,6.22,54,0,0,
19,Nazakat Ali,(NOR),2019-2019,2,2,3,0,16,1,16,5.33,18,0,0,
20,Nazmul Hossain,(Bangladesh),2009-2012,4,4,7,0,67,1,67,9.57,42,0,0,
21,A Ndlovu,(Zimbabve),2019-2019,3,3,11,0,90,1,90,8.18,66,0,0,
22,R Neale,(LUX),2019-2019,3,1,3,0,30,1,30,10,18,0,0,
23,P Negi,(INDIA),2016-2016,1,1,3,0,16,1,16,5.33,18,0,0,
24,D Nikolov,(),2019-2019,3,2,4,0,36,1,36,9,24,0,0,
25,K Nima,(BHU),2019-2019,1,1,3,0,22,1,22,7.33,18,0,0,
26,Noman Kamawi,(Belg),2019-2019,1,1,3,0,28,1,28,9.33,18,0,0,
27,L Nou,(PNG),2015-2015,3,3,10,0,65,1,65,6.5,60,0,0,
28,E Ochieng,(KENYA),2019-2019,2,2,4,0,30,1,30,7.5,24,0,0,
29,JL Ontong,(South Africa),2008-2015,14,4,6,0,83,1,83,13.83,36,0,0,
30,AM Oyede,(NGA),2019-2019,8,3,8,0,44,1,44,5.5,48,0,0,
31,RJG Palmer,(JER),2019-2019,2,2,4,0,27,1,27,6.75,24,0,0,
32,MA Parker,(Scotland),2012-2012,2,2,6,0,61,1,61,10.16,36,0,0,
33,Parvez Rasool,(INDIA),2017-2017,1,1,4,0,32,1,32,8,24,0,0,
34,AY Patel,(Newzealand),2018-2018,2,2,6,0,45,1,45,7.5,36,0,0,
35,KP Pietersen,(England),2005-2013,37,3,5,0,53,1,53,10.6,30,0,0,
36,JE Pitcher,(BMUDA),2019-2019,3,3,7,0,50,1,50,7.14,42,0,0,
37,S Pokhriyal,(CZK0R),2019-2019,5,1,2,0,22,1,22,11,12,0,0,
38,M Pushpakumara,(Srilanka),2009-2009,1,1,3,0,27,1,27,9,18,0,0,
39,Qasim Zia,(BAH),2019-2019,3,3,9,0,68,1,68,7.55,54,0,0,
40,Raag Kapur,(Hong Kong),2019-2019,4,3,7,0,49,1,49,7,42,0,0,
41,RLB Rambukwella,(Srilanka),2013-2016,2,2,6.3,0,46,1,46,7.07,39,0,0,
42,Ravinder Singh,(MALTA),2019-2019,2,2,6,0,72,1,72,12,36,0,0,
43,J Reb,(Serb),2019-2019,2,1,3,0,40,1,40,13.33,18,0,0,
44,GA Reynold,(Blz),2019-2019,3,3,8,1,49,1,49,6.12,48,0,0,
45,Riazat Ali Shah,(UGA),2019-2019,4,3,7.4,0,58,1,58,7.56,46,0,0,
46,R Rivas,(Chile),2019-2019,3,1,4,0,45,1,45,11.25,24,0,0,
47,Saber Zakhil,(Belg),2019-2019,3,3,9,0,69,1,69,7.66,54,0,0,
48,S Saeed,(Mald),2019-2019,5,5,11,0,95,1,95,8.63,66,0,0,
49,AM Samad,(Canada),2008-2010,7,1,2,0,36,1,36,18,12,0,0,
0,Sandeep Sharma,(INDIA),2015-2015,2,2,7,0,73,1,73,10.42,42,0,0,
1,I Sawmy,(DEN),2019-2019,2,1,3,0,12,1,12,4,18,0,0,
2,Shahzad Muhammad,(Mex),2019-2019,2,1,3,0,29,1,29,9.66,18,0,0,
3,Shaikh Ashraf,(Peru),2019-2019,4,2,4,0,34,1,34,8.5,24,0,0,
4,KV Sharma,(INDIA),2014-2014,1,1,4,0,28,1,28,7,24,0,0,
5,RG Sharma,(INDIA),2007-2019,104,9,11.2,0,113,1,113,9.97,68,0,0,
6,ZK Shem,(VAN),2019-2019,5,3,6,0,72,1,72,12,36,0,0,
7,LPC Silva,(Srilanka),2006-2011,16,2,3,0,15,1,15,5,18,0,0,
8,BA Simango,(Moz),2019-2019,2,1,3,0,21,1,21,7,18,0,0,
9,T Singye,(BHU),2019-2019,2,2,6,0,65,1,65,10.83,36,0,0,
10,J Singye,(BHU),2019-2019,2,2,8,0,69,1,69,8.62,48,0,0,
11,JT Smuts,(South Africa),2017-2018,8,6,12.4,0,101,1,101,7.97,76,0,0,
12,Sufyan Mehmood,(OMAN),2015-2019,3,3,5.3,0,39,1,39,7.09,33,0,0,
13,Suhrid Roy,(MALTA),2019-2019,1,1,4,0,44,1,44,11,24,0,0,
14,CR Suryawanshi,(SGP),2019-2019,3,1,2,0,13,1,13,6.5,12,0,0,
15,Tafseer Ali,(NOR),2019-2019,5,3,4,0,37,1,37,9.25,24,0,0,
16,Taijul Islam,(Bangladesh),2019-2019,2,2,7,0,58,1,58,8.28,42,0,0,
17,Tanvir Ahmed,(Pakistan),2010-2010,1,1,3,0,13,1,13,4.33,18,0,0,
